Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
14,<music21.chord.Chord F#4 A4 C#5>,"[0, 3, 7]","[6, 9, 1]",Bachlund_Commedia_Dellarte.xml,Bachlund,4,3
14.5,<music21.chord.Chord A3 C4 E4>,"[0, 3, 7]","[9, 0, 4]",Bachlund_Commedia_Dellarte.xml,Bachlund,4,3 1/2
15,<music21.chord.Chord F#4 A4 C#5>,"[0, 3, 7]","[6, 9, 1]",Bachlund_Commedia_Dellarte.xml,Bachlund,4,4
15.5,<music21.chord.Chord D4 F4 A4>,"[0, 3, 7]","[2, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,4,4 1/2
16,<music21.chord.Chord F4 A4 C#5>,"[0, 4, 8]","[1, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,5,1
16.16666667,<music21.chord.Chord D4 F4 A4>,"[0, 3, 7]","[2, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,5,1 1/6
16.33333333,<music21.chord.Chord F#4 A4 C#5>,"[0, 3, 7]","[6, 9, 1]",Bachlund_Commedia_Dellarte.xml,Bachlund,5,1 1/3
16.5,<music21.chord.Chord G4 B4 D5>,"[0, 4, 7]","[7, 11, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,5,1 1/2
17,<music21.chord.Chord C4 E4 G4 B4>,"[0, 1, 5, 8]","[11, 0, 4, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,5,2
17.5,<music21.chord.Chord C4 G4 B4 D5>,"[0, 4, 5, 7]","[7, 11, 0, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,5,2 1/2
18,<music21.chord.Chord C4 A4 C#5 E5>,"[0, 3, 4, 7]","[9, 0, 1, 4]",Bachlund_Commedia_Dellarte.xml,Bachlund,5,3
18.5,<music21.chord.Chord C4 F#4 A4 C#5>,"[0, 3, 6, 7]","[6, 9, 0, 1]",Bachlund_Commedia_Dellarte.xml,Bachlund,5,3 1/2
19,<music21.chord.Chord C4 F#4 A4 C#5>,"[0, 3, 6, 7]","[6, 9, 0, 1]",Bachlund_Commedia_Dellarte.xml,Bachlund,5,4
19.16666667,<music21.chord.Chord C4 D4 F4 A4>,"[0, 3, 5, 8]","[9, 0, 2, 5]",Bachlund_Commedia_Dellarte.xml,Bachlund,5,4 1/6
19.33333333,<music21.chord.Chord C4 F#4 A4 C#5>,"[0, 3, 6, 7]","[6, 9, 0, 1]",Bachlund_Commedia_Dellarte.xml,Bachlund,5,4 1/3
19.5,<music21.chord.Chord C4 G4 B4 D5>,"[0, 4, 5, 7]","[7, 11, 0, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,5,4 1/2
20,<music21.chord.Chord C4 E4 G4 B4>,"[0, 1, 5, 8]","[11, 0, 4, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,6,1
20.5,<music21.chord.Chord C4 G4 B4 D5>,"[0, 4, 5, 7]","[7, 11, 0, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,6,1 1/2
21,<music21.chord.Chord C4 A4 C5 E5>,"[0, 3, 7]","[9, 0, 4]",Bachlund_Commedia_Dellarte.xml,Bachlund,6,2
21.5,<music21.chord.Chord C4 B4 D5 F#5>,"[0, 1, 3, 7]","[11, 0, 2, 6]",Bachlund_Commedia_Dellarte.xml,Bachlund,6,2 1/2
22,<music21.chord.Chord C4 C5 E5 G5>,"[0, 4, 7]","[0, 4, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,6,3
22.16666667,<music21.chord.Chord C4 A4 C5 E5>,"[0, 3, 7]","[9, 0, 4]",Bachlund_Commedia_Dellarte.xml,Bachlund,6,3 1/6
22.33333333,<music21.chord.Chord C4 C#5 E5 G5>,"[0, 1, 4, 7]","[0, 1, 4, 7]",Bachlund_Commedia_Dellarte.xml,Bachlund,6,3 1/3
22.5,<music21.chord.Chord C4 D5 F5 A5>,"[0, 3, 5, 8]","[9, 0, 2, 5]",Bachlund_Commedia_Dellarte.xml,Bachlund,6,3 1/2
23,<music21.chord.Chord C4 G5 B5 D6>,"[0, 4, 5, 7]","[7, 11, 0, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,6,4
23.5,<music21.chord.Chord C4 F5 A5 C6>,"[0, 4, 7]","[5, 9, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,6,4 1/2
24.5,<music21.chord.Chord F4 A4 C5>,"[0, 4, 7]","[5, 9, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,7,1 1/2
25,<music21.chord.Chord A3 C4 E4 F4 A4 C5>,"[0, 1, 5, 8]","[4, 5, 9, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,7,2
28,<music21.chord.Chord F5 A5 C6>,"[0, 4, 7]","[5, 9, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,8,1
31.75,<music21.chord.Chord E6>,[0],[4],Bachlund_Commedia_Dellarte.xml,Bachlund,8,4 3/4
32,<music21.chord.Chord G5 B5 D6>,"[0, 4, 7]","[7, 11, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,9,1
32.5,<music21.chord.Chord F4 A4 C5 G5 B5 D6>,"[0, 2, 4, 6, 7, 9]","[5, 7, 9, 11, 0, 2]",Bachlund_Commedia_Dellarte.xml,Bachlund,9,1 1/2
33,<music21.chord.Chord A3 C4 E4 F4 A4 C5 G5 B5 D6>,"[0, 1, 3, 5, 6, 8, 10]","[11, 0, 2, 4, 5, 7, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,9,2
35.75,<music21.chord.Chord A3 C4 E4 F4 A4 C5 B5>,"[0, 1, 5, 7, 8]","[4, 5, 9, 11, 0]",Bachlund_Commedia_Dellarte.xml,Bachlund,9,4 3/4
36,<music21.chord.Chord D5 F5 A5>,"[0, 3, 7]","[2, 5, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,10,1
36.5,<music21.chord.Chord C4 E4 G4 D5 F5 A5>,"[0, 2, 4, 5, 7, 9]","[0, 2, 4, 5, 7, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,10,1 1/2
37,<music21.chord.Chord F3 A3 C4 E4 G4 D5 F5 A5>,"[0, 2, 4, 5, 7, 9]","[0, 2, 4, 5, 7, 9]",Bachlund_Commedia_Dellarte.xml,Bachlund,10,2
