Offset,Chord,NormalForm,PCsInNormalForm,File,Composer,measureNumber,beatNumber
148,<music21.chord.Chord G-2 D-3 A-3 B-3 E-4 A-4 B-4 F5 C6>,"[0, 1, 3, 5, 6, 8, 10]","[0, 1, 3, 5, 6, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,40,3.000
149,<music21.chord.Chord C-1 G-2 D-3 A-3 B-3 E-4 A-4 B-4 F5 C6>,"[0, 1, 2, 3, 5, 7, 8, 10]","[10, 11, 0, 1, 3, 5, 6, 8]",Copland_Piano_Blues_No_3.mxl,Copland,40,4.000
150,<music21.chord.Chord G-2>,[0],[6],Copland_Piano_Blues_No_3.mxl,Copland,41,1.000
150.125,<music21.chord.Chord G-2 D-3>,"[0, 5]","[1, 6]",Copland_Piano_Blues_No_3.mxl,Copland,41,1.125
150.25,<music21.chord.Chord G-2 D-3 A-3>,"[0, 2, 7]","[6, 8, 1]",Copland_Piano_Blues_No_3.mxl,Copland,41,1.250
150.375,<music21.chord.Chord G-2 D-3 A-3 B-3>,"[0, 2, 4, 7]","[6, 8, 10, 1]",Copland_Piano_Blues_No_3.mxl,Copland,41,1.375
150.5,<music21.chord.Chord G-2 D-3 A-3 B-3 E-4>,"[0, 2, 4, 7, 9]","[6, 8, 10, 1, 3]",Copland_Piano_Blues_No_3.mxl,Copland,41,1.500
150.625,<music21.chord.Chord G-2 D-3 A-3 B-3 E-4 A-4>,"[0, 2, 4, 7, 9]","[6, 8, 10, 1, 3]",Copland_Piano_Blues_No_3.mxl,Copland,41,1.625
150.75,<music21.chord.Chord G-2 D-3 A-3 B-3 E-4 A-4 B-4>,"[0, 2, 4, 7, 9]","[6, 8, 10, 1, 3]",Copland_Piano_Blues_No_3.mxl,Copland,41,1.750
150.875,<music21.chord.Chord G-2 D-3 A-3 B-3 E-4 A-4 B-4 F5>,"[0, 2, 4, 5, 7, 9]","[1, 3, 5, 6, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,41,1.875
151,<music21.chord.Chord G-2 D-3 A-3 B-3 E-4 A-4 B-4 F5 C6>,"[0, 1, 3, 5, 6, 8, 10]","[0, 1, 3, 5, 6, 8, 10]",Copland_Piano_Blues_No_3.mxl,Copland,41,2.000
152,<music21.chord.Chord C-1 G-2 D-3 A-3 B-3 E-4 A-4 B-4 F5 C6>,"[0, 1, 2, 3, 5, 7, 8, 10]","[10, 11, 0, 1, 3, 5, 6, 8]",Copland_Piano_Blues_No_3.mxl,Copland,41,3.000
153,<music21.chord.Chord C-1 G-2 D-3 A-3 C6>,"[0, 2, 5, 6, 7]","[6, 8, 11, 0, 1]",Copland_Piano_Blues_No_3.mxl,Copland,41,4.000
