Offset,Chord,NormalForm,PCsInNormalForm,File,measureNumber,beatNumber,Composer
37.625,<music21.chord.Chord G#4 G#5 F5 B5 F3 C#4 C#3>,"[0, 3, 6, 8]","[5, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
38.125,<music21.chord.Chord F5 B5 G#4 G#5 F#3 C#4 E-3>,"[0, 2, 4, 6, 7, 9]","[11, 1, 3, 5, 6, 8]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
38.625,<music21.chord.Chord F#4 F#5 F5 B5 F3 G#3 C#4>,"[0, 1, 3, 6, 8]","[5, 6, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
39.125,<music21.chord.Chord F5 B5 F#4 F#5 F#3 C#4 E-3>,"[0, 2, 4, 6, 7]","[11, 1, 3, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
39.625,<music21.chord.Chord F5 B5 F#4 F#5 F3 C#4 C#3>,"[0, 2, 6, 7]","[11, 1, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
40.125,<music21.chord.Chord F4 B5 F3 G#3 C#4>,"[0, 3, 6, 8]","[5, 8, 11, 1]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
40.625,<music21.chord.Chord F#4 F#5 B5 F#3 C#4 E-3>,"[0, 2, 4, 7]","[11, 1, 3, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
41.125,<music21.chord.Chord B5 F#4 F#5 F3 C#4 C#3>,"[0, 2, 6, 7]","[11, 1, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
41.625,<music21.chord.Chord B5 C#4 B2 E-3>,"[0, 2, 4]","[11, 1, 3]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
42.125,<music21.chord.Chord B5 F3 C#4 C#3>,"[0, 2, 6]","[11, 1, 5]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
42.625,<music21.chord.Chord F#4 F#5 B5 F#3 C#4 E-3>,"[0, 2, 4, 7]","[11, 1, 3, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
43.125,<music21.chord.Chord B5 F#4 F#5 F3 C#4 C#3>,"[0, 2, 6, 7]","[11, 1, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
43.625,<music21.chord.Chord B5 F#4 F#5 C#4 B2 E-3>,"[0, 2, 4, 7]","[11, 1, 3, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
44.125,<music21.chord.Chord F#4 F#5 B5 F3 C#4 C#3>,"[0, 2, 6, 7]","[11, 1, 5, 6]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
