measureNumber,beatNumber,Offset,Chord,NormalForm,PCsInNormalForm,File,Composer
7,1,18,<music21.chord.Chord C#2 G#4>,"[0, 5]","[8, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
7,2,19,<music21.chord.Chord C#2 G#2 E3 C#4 E4 A4>,"[0, 1, 5, 8]","[8, 9, 1, 4]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
7,3 1/2,20.5,<music21.chord.Chord C#2 G#2 E3 C#4 G#4>,"[0, 3, 7]","[1, 4, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
8,1,21,<music21.chord.Chord G#1 C#4>,"[0, 5]","[8, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
8,2,22,<music21.chord.Chord G#1 G#2 E3 G#3 C#4 D#4>,"[0, 2, 3, 7]","[1, 3, 4, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
8,3 1/2,23.5,<music21.chord.Chord G#1 C#4 E4>,"[0, 3, 7]","[1, 4, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
9,1,24,<music21.chord.Chord D#2 G#4>,"[0, 5]","[3, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
9,2,25,<music21.chord.Chord D#2 G#2 F#3 C#4 F#4 G#4>,"[0, 2, 5, 7]","[1, 3, 6, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
9,3,26,<music21.chord.Chord D#2 G#2 F#3 C#4 F#4 G#4>,"[0, 2, 5, 7]","[1, 3, 6, 8]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
10,1,27,<music21.chord.Chord G#1 C4 G#4>,"[0, 4]","[8, 0]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
10,2,28,<music21.chord.Chord G#1 G#2 F#3 C4>,"[0, 2, 6]","[6, 8, 0]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
10,3,29,<music21.chord.Chord G#1 G#2 F#3 C4 G#4>,"[0, 2, 6]","[6, 8, 0]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
11,1,30,<music21.chord.Chord C#2 G#4>,"[0, 5]","[8, 1]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
11,2,31,<music21.chord.Chord C#2 G#2 E3 E4 A4 B4>,"[0, 1, 3, 5, 8]","[8, 9, 11, 1, 4]",Poulenc_Les_chemins_de_lamour.mxl,Poulenc
