measureNumber,beatNumber,Offset,Chord,NormalForm,PCsInNormalForm,File,Composer
25,1.000,72.5,<music21.chord.Chord E3 A#3 C#4 A#4>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
25,1.667,73.5,<music21.chord.Chord E3 A#3 C#4 A#4>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
25,2.000,74,<music21.chord.Chord E3 G#3 B3 G#4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
25,2.500,74.75,<music21.chord.Chord E3 G#3 B3 F#4>,"[0, 2, 4, 7]","[4, 6, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
25,2.667,75,<music21.chord.Chord E3 G#3 B3 G#4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
26,1.000,75.5,<music21.chord.Chord E3 A#3 C#4 A#4>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
26,1.333,76,<music21.chord.Chord E3 A#3 C#4 F#4>,"[0, 3, 6, 8]","[10, 1, 4, 6]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
26,2.000,77,<music21.chord.Chord E3 G#3 B3 G#4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
26,2.667,78,<music21.chord.Chord E3 G#3 B3 G#4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
27,1.000,78.5,<music21.chord.Chord E3 A#3 C#4 D#5>,"[0, 3, 5, 6]","[10, 1, 3, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
27,1.500,79.25,<music21.chord.Chord E3 A#3 C#4 C#5>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
27,1.667,79.5,<music21.chord.Chord E3 A#3 C#4 D#5>,"[0, 3, 5, 6]","[10, 1, 3, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
27,2.000,80,<music21.chord.Chord E3 G#3 B3 B4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
27,2.667,81,<music21.chord.Chord E3 G#3 B3 A#4>,"[0, 4, 6, 7]","[4, 8, 10, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
28,1.000,81.5,<music21.chord.Chord E3 A#3 C#4 C#5>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
28,2.000,83,<music21.chord.Chord F#3 C#5>,"[0, 5]","[1, 6]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
28,2.333,83.5,<music21.chord.Chord C#5>,[0],[1],Sculthorpe_Sea_Chant.mxl,Sculthorpe
28,2.667,84,<music21.chord.Chord B4>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
29,1.000,84.5,<music21.chord.Chord E3 A#3 C#4 A#4>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
29,1.667,85.5,<music21.chord.Chord E3 A#3 C#4 A#4>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
29,2.000,86,<music21.chord.Chord E3 G#3 B3 G4>,"[0, 3, 4, 7]","[4, 7, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
29,2.500,86.75,<music21.chord.Chord E3 G#3 B3 F#4>,"[0, 2, 4, 7]","[4, 6, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
29,2.667,87,<music21.chord.Chord E3 G#3 B3 G4>,"[0, 3, 4, 7]","[4, 7, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
30,1.000,87.5,<music21.chord.Chord E3 A#3 C#4 A#4>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
30,1.333,88,<music21.chord.Chord E3 A#3 C#4 F#4>,"[0, 3, 6, 8]","[10, 1, 4, 6]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
30,2.000,89,<music21.chord.Chord E3 G#3 B3 G#4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
30,2.667,90,<music21.chord.Chord E3 G#3 B3 B4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
31,1.000,90.5,<music21.chord.Chord E3 A#3 C#4 F#4>,"[0, 3, 6, 8]","[10, 1, 4, 6]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
31,1.667,91.5,<music21.chord.Chord E3 A#3 C#4 E4>,"[0, 3, 6]","[10, 1, 4]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
31,2.000,92,<music21.chord.Chord E3 G#3 B3 A#4>,"[0, 4, 6, 7]","[4, 8, 10, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
31,2.333,92.5,<music21.chord.Chord E3 G#3 B3 B4>,"[0, 4, 7]","[4, 8, 11]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
32,1.000,93.5,<music21.chord.Chord E3 A#3 C#4 F#4>,"[0, 3, 6, 8]","[10, 1, 4, 6]",Sculthorpe_Sea_Chant.mxl,Sculthorpe
32,2.000,95,<music21.chord.Chord F#3 F#4>,[0],[6],Sculthorpe_Sea_Chant.mxl,Sculthorpe
32,2.667,96,<music21.chord.Chord B3>,[0],[11],Sculthorpe_Sea_Chant.mxl,Sculthorpe
