Offset,Chord,NormalForm,PCsInNormalForm,File,measureNumber,MeasureCount,Composer
128.125,<music21.chord.Chord G#4 F#3 E-4 E-3>,"[0, 3, 5]","[3, 6, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
128.25,<music21.chord.Chord F#3 E-3>,"[0, 3]","[3, 6]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
128.4166667,<music21.chord.Chord E-3>,[0],[3],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
129.6666667,<music21.chord.Chord C#3 C#1>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
129.75,<music21.chord.Chord C#2 C#3 C#1>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
130.4166667,<music21.chord.Chord C#3 C#2>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
130.5,<music21.chord.Chord C#3>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
131.3333333,<music21.chord.Chord C#4>,[0],[1],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
131.375,<music21.chord.Chord G#2 E3 C#4>,"[0, 3, 7]","[1, 4, 8]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
132.5,<music21.chord.Chord G#3 B2 E4 C#4 G#2>,"[0, 3, 5, 8]","[8, 11, 1, 4]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
132.625,<music21.chord.Chord C#4 G#3 B2 E4>,"[0, 3, 5, 8]","[8, 11, 1, 4]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
132.6666667,<music21.chord.Chord G#3 B2 E4>,"[0, 4, 7]","[4, 8, 11]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
133.25,<music21.chord.Chord B2 E4>,"[0, 5]","[11, 4]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
133.5,<music21.chord.Chord E4>,[0],[4],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
133.625,<music21.chord.Chord E-4 G3 B-2>,"[0, 4, 7]","[3, 7, 10]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
133.9583333,<music21.chord.Chord G3 B-2>,"[0, 3]","[7, 10]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
134.25,<music21.chord.Chord G3>,[0],[7],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
134.6666667,<music21.chord.Chord A3 A2>,[0],[9],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
134.75,<music21.chord.Chord A1 A3 A2>,[0],[9],Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
135.75,<music21.chord.Chord F#3 D4 A3 A2 A1>,"[0, 4, 7]","[2, 6, 9]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
135.875,<music21.chord.Chord C4 A3 A2 A1 F#3 D4>,"[0, 3, 6, 8]","[6, 9, 0, 2]",Prelude in C#- Op3No2 C#-.mid,,,Rachmaninov
